"2019-10-24 18:24:01,956 [<string>:1] j"
"2019-10-24 18:24:02,767 [<string>:1] j"
"2019-10-24 18:24:03,094 [<string>:1] j"
"2019-10-24 18:24:03,408 [<string>:1] j"
"2019-10-24 18:24:03,718 [<string>:1] j"
"2019-10-24 18:25:03,546 [<string>:1] jj"
"2019-10-24 18:25:04,574 [<string>:1] jj"
"2019-10-24 18:25:05,082 [<string>:1] jj"
"2019-10-24 18:25:15,315 [<string>:1] jj"
"2019-10-24 18:25:16,443 [<string>:1] jj"
"2019-10-25 14:07:19,854 [_exceptions.py:34] IMDbParserError exception raised; args: ('invalid movieID "tt3107288": invalid literal for int() with base 10: \'tt3107288\'',); kwds: {}"
Traceback (most recent call last):
  File "C:\Program Files (x86)\Python3.7\lib\site-packages\imdb\parser\http\__init__.py", line 314, in _normalize_movieID
    return '%07d' % int(movieID)
ValueError: invalid literal for int() with base 10: 'tt3107288'
"2019-10-26 02:28:01,315 [api.py:415] Failed to get info for:1399: name 'imdb_tv_info' is not defined"
"2019-10-26 02:28:01,316 [api.py:415] Failed to get info for:60735: name 'imdb_tv_info' is not defined"
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,120 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:48:38,121 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
